"date" "usdvnd" "eurusd" "usdcny" "usdjpy" "usdkrw" "usdsgd" "usdtwd" "usdthb"
2005-02-14 15805 1.2976 8.2765 105.095 1025.5 1.639 31.54 38.32
2005-02-15 15791 1.30265 8.2765 104.415 1024.5 1.63745 31.49 38.38
2005-02-16 15801 1.303 8.2765 105.425 1027.5 1.64135 31.595 38.545
2005-02-17 15786 1.30705 8.2765 105.545 1025.5 1.64 31.55 38.53
2005-02-21 15795 1.3068 8.2764 105.575 1023.5 1.6379 31.39 38.565
2005-02-22 15797 1.326 8.2765 104.035 1003.5 1.62595 31.18 38.355
2005-02-23 15800 1.32165 8.2765 104.835 1003.5 1.62785 31.205 38.49
2005-02-24 15803 1.31975 8.2765 105.385 1007.5 1.6321 31.195 38.45
2005-02-28 15803 1.32275 8.2765 104.625 1004.5 1.62185 31.08 38.24
2005-03-01 15805 1.31875 8.2764 104.385 1004.5 1.6225 30.96 38.275
2005-03-02 15802 1.31415 8.2765 104.75 1007.5 1.62545 30.955 38.35
2005-03-03 15813 1.31095 8.2765 105.285 1006.5 1.6291 30.87 38.465
2005-03-07 15807.5 1.3214 8.2765 105.18 1004.7 1.626 30.873 38.335
2005-03-08 15804.5 1.33435 8.2765 104.675 1004.3 1.62185 30.8635 38.31
2005-03-09 15811 1.33925 8.2765 103.955 1001.1 1.62025 30.805 38.285
2005-03-10 15803.5 1.34185 8.2765 104.135 1000.3 1.62025 30.79 38.26
2005-03-14 15796 1.33695 8.2765 104.835 1000.8 1.623 30.8255 38.32
2005-03-15 15800 1.3305 8.2765 104.56 1003.9 1.62625 30.999 38.45
2005-03-16 15804 1.34155 8.2764 104.155 1003.8 1.6203 31.021 38.44
2005-03-17 15802 1.33775 8.2765 104.53 1000.85 1.62375 31.0875 38.525
2005-03-21 15815 1.31575 8.2765 105.195 1009.5 1.6295 31.15 38.58
2005-03-22 15822 1.3086 8.2765 105.615 1009.6 1.63945 31.385 38.63
2005-03-23 15827 1.2987 8.2765 105.955 1008.5 1.64365 31.37 38.705
2005-03-24 15823 1.2939 8.2765 106.33 1013.5 1.6442 31.4595 38.89
2005-03-28 15814 1.2896 8.2764 107.21 1016.9 1.65175 31.67 39.265
2005-03-29 15824 1.2928 8.2766 107.565 1024.5 1.65275 31.775 39.285
2005-03-30 15827 1.2918 8.2765 107.525 1024.5 1.6515 31.769 39.285
2005-03-31 15819 1.2963 8.2764 107.23 1015.5 1.65075 31.506 39.12
2005-04-04 15821.5 1.28475 8.2766 108.29 1013.5 1.66545 31.584 39.52
2005-04-05 15826 1.28685 8.2765 108.165 1013.5 1.66085 31.584 39.535
2005-04-06 15837 1.2871 8.2764 108.68 1013.4 1.6594 31.57 39.58
2005-04-07 15829 1.28565 8.2764 108.625 1012.5 1.65925 31.55 39.63
2005-04-11 15820 1.2972 8.2765 107.865 1013.5 1.6506 31.505 39.585
2005-04-12 15822.5 1.29205 8.2765 107.755 1015.5 1.6466 31.575 39.62
2005-04-13 15814 1.2915 8.2765 107.345 1011.5 1.64365 31.465 39.49
2005-04-14 15827 1.2812 8.2764 108.18 1016.6 1.655 31.6 39.695
2005-04-18 15824 1.30235 8.2764 107.49 1019.7 1.65265 31.62 39.615
2005-04-19 15830 1.3061 8.2764 106.725 1013.8 1.64785 31.475 39.515
2005-04-20 15835 1.30865 8.2765 106.86 1005.5 1.646 31.475 39.373
2005-04-21 15832 1.30485 8.2764 106.945 1008.5 1.6485 31.525 39.61
